article_id,media_type,publish_date,sentiment,topic,reach_estimate,content
0,Reuters,2020-11-09,neutral,Technology,123741,Example article content
1,NY Times,2020-11-12,positive,Technology,496980,Example article content
2,Forbes,2020-11-20,positive,CEO News,37517,Example article content
3,Reuters,2020-12-01,neutral,CEO News,246896,Example article content
4,CNBC,2020-12-01,positive,CEO News,101505,Example article content
5,CNBC,2020-12-02,negative,Technology,198059,Example article content
6,Forbes,2021-01-12,neutral,Product Launch,375637,Example article content
7,CNBC,2021-01-15,neutral,Politics,69807,Example article content
8,Forbes,2021-01-15,neutral,Product Launch,154914,Example article content
9,CNBC,2021-01-19,neutral,Product Launch,5046,Example article content
10,CNBC,2021-01-20,negative,Politics,453429,Example article content
11,Forbes,2021-01-29,negative,Technology,33632,Example article content
12,Forbes,2021-02-23,negative,Technology,122799,Example article content
13,Forbes,2021-02-25,positive,CEO News,58079,Example article content
14,Forbes,2021-03-05,positive,Earnings,300594,Example article content
15,NY Times,2021-03-15,negative,Product Launch,83183,Example article content
16,CNBC,2021-03-24,neutral,Politics,116115,Example article content
17,CNBC,2021-04-06,positive,Earnings,498962,Example article content
18,Reuters,2021-04-14,neutral,CEO News,271159,Example article content
19,Reuters,2021-04-19,negative,Product Launch,134967,Example article content
20,Reuters,2021-05-03,positive,Technology,396450,Example article content
21,Forbes,2021-05-10,positive,Technology,301120,Example article content
22,Reuters,2021-05-20,neutral,Product Launch,46645,Example article content
23,Forbes,2021-05-27,positive,Product Launch,190935,Example article content
24,Forbes,2021-05-31,neutral,Politics,335047,Example article content
25,Forbes,2021-06-23,neutral,Politics,477612,Example article content
26,CNBC,2021-06-30,neutral,Product Launch,352619,Example article content
27,NY Times,2021-07-05,neutral,Politics,269795,Example article content
28,NY Times,2021-07-08,positive,Politics,237813,Example article content
29,NY Times,2021-07-23,neutral,CEO News,231354,Example article content
30,Forbes,2021-08-03,positive,Earnings,290171,Example article content
31,Forbes,2021-08-09,positive,Politics,71578,Example article content
32,Reuters,2021-08-10,positive,Technology,293151,Example article content
33,TechCrunch,2021-08-13,positive,Earnings,23963,Example article content
34,CNBC,2021-08-23,neutral,Politics,315231,Example article content
35,TechCrunch,2021-08-24,negative,Technology,337433,Example article content
36,Forbes,2021-09-01,neutral,Politics,219424,Example article content
37,Forbes,2021-09-03,positive,CEO News,325647,Example article content
38,Forbes,2021-09-08,neutral,Earnings,498530,Example article content
39,Forbes,2021-09-15,positive,Politics,468462,Example article content
40,Forbes,2021-09-27,positive,Technology,87770,Example article content
41,TechCrunch,2021-10-06,positive,CEO News,391499,Example article content
42,NY Times,2021-10-15,neutral,CEO News,14003,Example article content
43,Forbes,2021-11-05,neutral,Politics,281354,Example article content
44,TechCrunch,2021-11-29,positive,Politics,208845,Example article content
45,TechCrunch,2021-11-30,neutral,Product Launch,205055,Example article content
46,TechCrunch,2021-12-03,positive,Product Launch,367579,Example article content
47,Reuters,2021-12-10,negative,Earnings,406156,Example article content
